alt,a1_url,a1_text,a2_url,a2_text,filepath,description,category,embedding
Cannula (medicine going in),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/cannula-medicine-going-in.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/05/cannula-medicine-going-in.png,Download (Outside the Box),./images/cannula-medicine-going-in.png,"The image shows a cartoon-style drawing illustrating a cannula being inserted into a hand. The word ""cannula"" is written in large, bold, black text at the top of the image. Below the word, a brown hand is drawn with a syringe and cannula connected. An arrow indicates the direction of medicine being administered from the syringe into the cannula, which is secured to the hand with a white bandage. The drawing is contained within a black border.",Medical Illustration,"[ 0.03224218 -0.00543614 -0.02155044 ... -0.00836306  0.00713071
 -0.00983333]"
Cannula (on back of hand),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/cannula-on-back-of-hand.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/05/cannula-on-back-of-hand.png,Download (Outside the Box),./images/cannula-on-back-of-hand.png,"The image depicts a cartoon-style illustration of a cannula, or IV catheter, inserted into the back of a brown-skinned hand. The word ""cannula"" is written in bold, black text at the top of the image. The hand is outlined with thick, black lines, and the cannula is blue and white, connected to a small, white bandage. A green arrow points towards the cannula site on the hand.",Medical Illustration,"[ 0.02517851  0.00205524 -0.02193347 ... -0.01629644  0.00101341
 -0.01781134]"
Cannula with fluids,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/cannula-with-fluids.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/05/cannula-with-fluids.png,Download (Outside the Box),./images/cannula-with-fluids.png,A cartoon image shows a cannula in a person's hand. The cannula is connected to a bag of fluids hanging from a stand. The text at the top says 'cannula with fluids'.,Medical,"[ 0.02399743  0.0102087  -0.02440228 ... -0.00301367 -0.00901472
  0.0089993 ]"
Cant sleep,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/05/cant-sleep.png,Download (Outside the Box),,,./images/cant-sleep.png,"A cartoon illustration shows a person lying awake in bed at night. The person has dark hair, tan skin, and wide eyes, looking worried with a slight frown. They are lying on a purple pillow under a light purple blanket in a brown bed. Through the window, stars and a crescent moon are visible in the night sky behind light blue curtains.",Health,"[ 0.02499226  0.00588625 -0.01958395 ... -0.03136343 -0.02242045
 -0.03319866]"
Can’t sleep,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/can’t-sleep.png,Download (In the Box),,,./images/can’t-sleep.png,"A cartoon depicts a person in bed, unable to sleep. The text above reads ""can't sleep"" in bold, black letters. Below, a person lies awake under a light purple blanket on a bed with a brown headboard and footboard. A window with light purple curtains reveals a night sky with a crescent moon and several yellow stars. The overall image has a simple, cartoonish style, bordered by a thick black line.",Health,"[ 0.03805688  0.01214769 -0.02386222 ... -0.03616764 -0.00864985
 -0.04269215]"
Cant sleep V2,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/05/cant-sleep-V2.png,Download (Outside the Box),,,./images/cant-sleep-V2.png,"A cartoon image depicting a person in bed unable to sleep. The person has brown hair and a worried expression. They are lying under a yellow blanket with a yellow pillow. Behind them is a window with a black night sky, featuring a crescent moon and stars. Above the image, in large black text, it reads ""can't sleep."" The image is framed with a black border.",Health,"[ 0.0376178   0.00424538 -0.01740655 ... -0.04394761 -0.02317893
 -0.03082569]"
Can’t sleep V2,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/can’t-sleep-2.png,Download (In the Box),,,./images/can’t-sleep-2.png,"A cartoon image with a black border against a white background showing a person in bed who cannot sleep. At the top, in large black text, it says ""can't sleep"". Below the text, a person with brown skin and black hair lies in a brown bed with a purple pillow and blanket. The person is looking up with a worried expression. Behind them, there is a window showing a crescent moon and stars in the night sky, framed by light purple curtains.",Health,"[ 0.03628583  0.00010739 -0.01883167 ... -0.03304352 -0.01492358
 -0.03007515]"
cant sleep V2,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/01/cant-sleep-V2.png,Download (In the Box),,,./images/cant-sleep-V2.png,"A cartoon illustration depicting a person lying awake in bed with the words 'can't sleep' at the top. The person is facing up with a worried expression. They have brown hair, tan skin, and are under a bright yellow blanket. A matching yellow pillow is beneath their head. In the background, a window shows a night scene with stars and a crescent moon through drawn, brown curtains.",Health and Wellbeing,"[ 0.04013088  0.0047798  -0.02409811 ... -0.03915713 -0.01876247
 -0.03564671]"
Cap,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/cap.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/05/cap.png,Download (Outside the Box),./images/cap.png,"A cartoon image of a light blue baseball cap is presented in a black-bordered square against a white background. The word 'cap' is written in large, bold, black letters above the image of the hat. The baseball cap has a curved brim and a rounded crown with a small button on top, all outlined in black.",Educational Illustration,"[ 0.02512393  0.01011492 -0.03239995 ... -0.0140002  -0.00698737
 -0.00788839]"
Car,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/car.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/05/car.png,Download (Outside the Box),./images/car.png,"A cartoon car is displayed against a white backdrop, framed by a thick black border. Above the car, the word 'car' is written in a large, bold, black font. The car itself is colored in shades of blue with thick black outlines, featuring rounded windows and tires that have gray centers. A brown steering wheel is visible inside.",Transportation,"[ 0.0423984  -0.00896429  0.0051486  ... -0.00061789 -0.03833761
 -0.01894638]"
Car accident,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/car-accident.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/05/car-accident.png,Download (Outside the Box),./images/car-accident.png,"The image shows a cartoon illustration of a car accident. A blue car with a crumpled front and smoke rising from the hood is the main focus. Inside the car, a person with a frightened expression and blood on their face is visible. Blood splatters are also visible on the steering wheel and inside the car. The words ""car accident"" are written in bold, black letters above the car. The background is plain white, and the entire image is framed by a thick black border.",Illustration,"[ 0.02719491 -0.01664321 -0.00093125 ...  0.01094908 -0.01813672
 -0.00717032]"
Caravan,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/caravan.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/05/caravan.png,Download (Outside the Box),./images/caravan.png,"The image shows a cartoon drawing of a caravan with the word 'caravan' written in large, bold black letters above it. The caravan is cream with red and orange stripes and has blue windows and doors. It's set on a green lawn with a blue sky in the background. The caravan is resting on small blocks and has steps leading up to the two doors.",transport,"[ 0.02741859  0.01338651 -0.01716645 ... -0.02134495 -0.04958835
 -0.01284856]"
Cardboard box,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/cardboard-box.png,Download (In the Box),,,./images/cardboard-box.png,"A cartoon-style image shows an open cardboard box. The box is brown with black outlines. The top flaps are open, revealing the inside of the box, which is also brown. Above the box, in large, bold black letters, are the words ""cardboard box"". The image is set against a white background and is framed by a thick black border. ",Objects,"[ 0.04505854 -0.00806425 -0.03121074 ... -0.01747765 -0.0446623
 -0.02293132]"
Cardigan,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/cardigan.png,Download (In the Box),,,./images/cardigan.png,"A simple illustration of a brown cardigan with a gray interior lining. It is centered on a white background within a black square frame. Above the cardigan, the word ""cardigan"" is written in large, bold black letters.",Clothing,"[ 0.05494253 -0.003162   -0.04586933 ... -0.02147503 -0.03362522
 -0.00627915]"
Care,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/care.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/05/care.png,Download (Outside the Box),./images/care.png,"A cartoon image against a white background shows two people standing together with two hands framing them from above and below. Above the people is the word 'Care' written in large, black letters. A man stands on the left wearing a yellow shirt and blue pants. A woman stands to his right with a light yellow shirt and purple skirt. The hands protecting them are brown. The entire image is enclosed by a black border.",Symbolic,"[ 0.01946688  0.00701864 -0.03897778 ... -0.00222752 -0.00963896
 -0.01959223]"
care,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/01/care.png,Download (In the Box),,,./images/care.png,"The image shows a drawing of two people, a man and a woman, standing side by side. Above them, the word ""care"" is written in big, black letters. There's a hand drawn above them, and another hand drawn below them, like they're protecting the man and woman. The man is wearing a yellow shirt and blue pants. The woman is wearing a yellow top and a purple skirt. Everything is drawn in a simple, colorful style, making it easy to understand.",Symbols & Concepts,"[ 0.00448111 -0.01383022 -0.03180853 ... -0.00888853 -0.00496234
 -0.04673903]"
Care at home,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/care-at-home.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/05/care-at-home.png,Download (Outside the Box),./images/care-at-home.png,"The image shows a square with a black border. Inside the square, at the top, are the words 'care at home' in big, black, easy-to-read letters. Below the words is a simple drawing of a brown house with a black roof. Inside the house is a cartoon person with a brown skin tone, wearing a yellow shirt and blue pants. The person is pointing at themselves. Below the house is a hand with brown skin, palm-up, as if holding or offering something.",Health & Social Care,"[ 0.00967682  0.00760844 -0.01374338 ... -0.03316195 -0.03101975
 -0.0251564 ]"
Care coordinator,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/care-coordinator.png,Download (In the Box),,,./images/care-coordinator.png,"A cartoon image shows a 'care coordinator'.  The cartoon depicts a woman with brown hair sitting behind a brown desk. On the desk is a sign for 'CPA Care Programme Approach in Leeds'. Above her head, a thought bubble shows a man in a yellow shirt and blue pants.  The words 'care coordinator' appear at the top and front of the desk, in white font. The image has a thick black border.",Occupations/Professions,"[ 0.01179625  0.01474559 -0.03894351 ... -0.02184828 -0.02480661
 -0.01349002]"
Care coordinator name,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/care-coordinator-name.png,Download (In the Box),,,./images/care-coordinator-name.png,"A colorful cartoon illustration with a thick black border. The top of the image shows the words ""care coordinator name"" in big black letters. The background is white. Below the text, a cartoon woman is sitting in a gray chair with a black briefcase on the floor to her right. She has brown hair, fair skin, and is wearing a yellow shirt and purple pants. She is smiling and has a name tag on her shirt with the word ""name"" written on it. A green arrow points to the name tag. A thought bubble above her head shows a cartoon man with a yellow shirt and blue pants.",Illustration,"[ 0.00653205  0.00873198 -0.0268431  ... -0.0196003  -0.03254652
 -0.02680519]"
care coordinator V2,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/01/care-coordinator-V2.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/03/care-coordinator-V2.png,Download (Outside the Box),./images/care-coordinator-V2.png,"The image is a visual representation of a care coordinator's role, designed as an easy-read graphic. At the top, the words ""care coordinator"" are written in bold black letters. The main image depicts a circle with green arrows showing the connections between different healthcare professionals and scenarios. The circle includes images of doctors, nurses, a pharmacist, therapists, and a patient. This illustrates the coordination of care between different people involved in a patient's health journey.",Healthcare,"[ 0.00469296 -0.01270595 -0.02908026 ... -0.00670871 -0.01130689
 -0.02896235]"
Care coordinator with phone and computer,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/care-coordinator-with-phone-and-computer.png,Download (In the Box),,,./images/care-coordinator-with-phone-and-computer.png,"A cartoon picture shows a woman sitting at a desk. She has fair skin, brown hair, and is wearing a light yellow shirt. On the desk is an old-fashioned black telephone, a computer screen, and a keyboard. Above her head, in a thought bubble, is a picture of a brown skinned man wearing a yellow shirt and blue pants. At the top of the picture, large black letters read ""care coordinator"", and the same text is repeated on the front of the desk. The picture is framed with a thick black line.",Illustration,"[ 0.01651766  0.00894401 -0.03920581 ... -0.01483148 -0.02506658
 -0.01781136]"
Care coordinator without desk,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/care-coordinator-without-desk.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/05/care-coordinator-without-desk.png,Download (Outside the Box),./images/care-coordinator-without-desk.png,"A person sitting in a chair with a thought bubble above their head. The thought bubble contains a cartoon figure of a man. Next to the chair, there's a black briefcase with the words ""care coordinator"" written on it. The words ""care coordinator"" are also written above the person in large letters. All of this is inside a black square.",Occupations,"[ 0.00829601  0.0016653  -0.01940631 ... -0.02578139 -0.02235945
 -0.02185545]"
Care for children,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/care-for-children.png,Download (In the Box),,,./images/care-for-children.png,"A picture shows the word 'care' at the top. Below, there are four children standing close together. Above the children, there's a hand that looks like it's protecting them. Underneath the children, there's another hand that looks like it's supporting them. This shows the idea of caring for children.",Social Care,"[ 0.01838533 -0.01141073 -0.03936101 ...  0.00362492  0.00596291
 -0.02164484]"
Care for older people,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/care-for-older-people.png,Download (In the Box),,,./images/care-for-older-people.png,"The image shows a cartoon drawing with the words ""care for older people"" at the top in bold, black letters. Below the words are two older people, a man and a woman, standing together. They are drawn in a simple cartoon style with outlines. Above and below them are stylized hands, also cartoon-like. The hands are positioned as if they are protecting or supporting the older couple. The overall impression is one of care, protection, and support for elderly individuals.",Symbolic Image,"[ 0.01636135 -0.00384206 -0.04316222 ... -0.00451924  0.00162632
 -0.03843292]"
Care for you (doctor),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/care-for-you-doctor.png,Download (In the Box),,,./images/care-for-you-doctor.png,"A cartoon-style image depicting a doctor being cradled by two hands, with the text ""care for you"" above. The doctor is wearing a white coat and has a stethoscope around their neck. The hands are open and cupped, as if gently supporting the doctor. The image conveys a sense of protection and caring for one's health.",Healthcare,"[ 0.01453105 -0.00251837 -0.04703547 ... -0.00586917 -0.00872157
 -0.01820475]"
Care for you (doctor nurse),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/care-for-you-doctor-nurse.png,Download (In the Box),,,./images/care-for-you-doctor-nurse.png,"An illustration with the words 'care for you' in bold black letters at the top. Below, two hands, depicted in a light brown tone, are positioned in a protective gesture above and below a doctor and a nurse. The doctor, on the left, is wearing a white coat with a stethoscope around their neck and brown trousers. The nurse, on the right, is wearing a blue uniform with black trousers. The background is white, surrounded by a thick black border.",Health & Medicine,"[ 0.01273116 -0.0041347  -0.05857726 ... -0.01267546 -0.00477908
 -0.03676579]"
Care for you (doctor nurse) V2,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/care-for-you-doctor-nurse-2.png,Download (In the Box),,,./images/care-for-you-doctor-nurse-2.png,"The image shows a cartoon drawing of a doctor and a nurse. Above the doctor and nurse are the words 'care for you' in big, bold, black letters. Above the text and below the doctor and nurse are two hands that appear to be gently cradling the doctor and nurse. The doctor is wearing a white coat and a stethoscope. The nurse is wearing a blue uniform. The image is surrounded by a thick black border.",Healthcare,"[ 0.01041826 -0.0077094  -0.04348313 ... -0.00792621 -0.00505452
 -0.03286457]"
Care for you doctors nurses,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/care-for-you-doctors-nurses.png,Download (In the Box),,,./images/care-for-you-doctors-nurses.png,"A colourful cartoon style picture. At the top, in big, bold, black letters are the words 'care for you'. Underneath, there is a diverse group of healthcare workers - doctors and nurses. They are all standing close together and smiling. Above them there is a cartoon drawing of a hand, palm down, like it's protecting them. Below them is another cartoon drawing of a hand, palm up, like it's supporting them. Everything is inside a black border.",Medical,"[ 0.01570073 -0.00409419 -0.03195683 ...  0.0045756  -0.01273278
 -0.0106539 ]"
Care for you (nurse),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/care-for-you-nurse.png,Download (In the Box),,,./images/care-for-you-nurse.png,"This picture shows the words 'care for you' at the top in big, black letters. Below the words is a drawing of a nurse wearing a blue uniform. Two brown hands are drawn above and below the nurse, as if they are protecting her. The background is white and there is a thick black border around the whole picture.",Healthcare,"[ 0.01603775 -0.00753319 -0.04424853 ... -0.00031489  0.01426839
 -0.02006059]"
Care for you V1,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/care-for-you-1.png,Download (In the Box),,,./images/care-for-you-1.png,"A colorful cartoon-style image depicts the concept of care. The word ""care"" is written in large, bold, black letters at the top. Below the word, two stylized hands, drawn in a light brown color, are positioned to create a sense of protection. The top hand appears to hover above two people, a male and a female figure. They are both wearing short-sleeved blue button-down shirts. Green arrows are used to connect the figures. The bottom hand is positioned as if it is holding the figures. The image is framed by a thick black border, further emphasizing the central theme of care and protection.",Concepts and Emotions,"[ 0.01037942 -0.00589112 -0.04467509 ...  0.00868835  0.00144027
 -0.03306731]"
Care for your diabetes,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/05/care-for-your-diabetes.png,Download (Outside the Box),,,./images/care-for-your-diabetes.png,"This picture shows a person with diabetes getting help with their condition. The person is in the middle of the image, with a drawing of their stomach, and the pancreas is marked with a sad face. There are hands on either side of the person, as if caring for them. On each hand, a medical device is shown, pricking the person's finger to take blood.",Healthcare,"[ 0.00450925 -0.008789   -0.03123124 ... -0.0094927  -0.02309043
 -0.00756652]"
Care for your orthotic,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/05/care-for-your-orthotic.png,Download (Outside the Box),,,./images/care-for-your-orthotic.png,"The image shows a pair of hands holding a collection of items. The top hand is holding a kite, while the bottom hand is holding a pair of brown boots. In between them, there's a leg and foot next to a white orthotic insert, indicated by a green arrow pointing from the foot to the orthotic.",Health,"[ 0.05102485 -0.00500707 -0.0531195  ... -0.00721457 -0.03380579
 -0.03759474]"
Care (hand),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/05/care-hand.png,Download (Outside the Box),,,./images/care-hand.png,"A graphic depicting a tan-colored hand, palm up and slightly cupped. The hand is simplified with bold black lines outlining the palm and fingers against a black background. It conveys a gesture of offering or receiving, suggesting care or support.",Icons and Symbols,"[-0.01866918  0.00483776 -0.03284637 ... -0.02516207 -0.01703248
 -0.02735022]"
Care home,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/care-home.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/05/care-home.png,Download (Outside the Box),./images/care-home.png,"A colorful cartoon image representing a 'care home'. The words 'care home' are written in bold, black text at the top. Below, there is a cartoon house with a brick pattern and blue windows. Two cartoon caregivers, a woman and a man, stand in front of the house. A pair of brown hands are drawn above and below the house, as if protecting it. The image is bordered with a black line.",healthcare,"[ 0.02171213  0.01776516 -0.0268157  ... -0.01492135 -0.02354712
 -0.02783765]"
Care manager,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/care-manager.png,Download (In the Box),,,./images/care-manager.png,"A cartoon image with a black border. At the top, in large black letters, it says ""care manager"". Below that, a woman sits behind a brown desk. The words ""care manager"" are written in large white letters on the front of the desk. A thought bubble above the woman's head shows a drawing of a man in a yellow shirt and blue pants. To the left of the woman, on the desk, is a framed picture featuring blue and gold owls, stars, and a shield. The background is white.",Healthcare,"[ 0.00560516  0.00456885 -0.0403657  ... -0.00519797  0.00078927
 -0.02687318]"
Care manager NHS,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/care-manager-NHS.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/05/care-manager-NHS.png,Download (Outside the Box),./images/care-manager-NHS.png,"A cartoon-style drawing shows a woman, the care manager, seated at a desk.  She has light brown hair, beige skin, and is wearing a yellow top. Her hands are clasped on the desk.  Above her head is a thought bubble containing a person wearing a yellow shirt and blue trousers. The desk is brown, and in front of her sits a sign displaying the NHS logo. Above her head the words 'care manager' are in large black text. The same words also appear on the front of the desk in white letters. The image is bordered with a thick black line.",Healthcare,"[ 0.02138893 -0.01088184 -0.04286318 ... -0.01395052 -0.01867554
 -0.02547307]"
Care manager NHS V2,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/care-manager-NHS-V2.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/05/care-manager-NHS-V2.png,Download (Outside the Box),./images/care-manager-NHS-V2.png,"A colorful cartoon image depicts a care manager, conveying the concepts of money and caring. The image shows a woman sitting behind a desk with ""care manager"" written on it. An NHS logo is on the desk. Above her head, there are thought bubbles with money and a person being helped. It's designed in a simple, friendly style for easy readability.",People/Health,"[ 0.00917819 -0.01202537 -0.03169886 ... -0.00541875 -0.01863013
 -0.03864252]"
Care pathway,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/care-pathway.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/05/care-pathway.png,Download (Outside the Box),./images/care-pathway.png,"A cartoon picture shows a man walking on a path with signs pointing in different directions. The first sign says 'care pathway'. There is a big, yellow sun in the sky.",Healthcare,"[ 0.03693049  0.01400333 -0.0250827  ... -0.0102369   0.00898238
 -0.00320904]"
Care pathway V2,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/care-pathway-V2.png,Download (In the Box),,,./images/care-pathway-V2.png,"A cartoon image with a black border shows a green landscape under a blue sky with a yellow sun. A brown wooden signpost with the words ""care pathway"" points to the right. A man with brown skin, black hair, a yellow shirt, and blue pants walks along a gray road with dashed lines. Three more brown wooden signposts line the curving road. Above the landscape, the words ""care pathway"" are written in large black letters.",Diagram,"[ 0.02863411 -0.01028829 -0.01636575 ... -0.01516759  0.00279238
 -0.01506737]"
Care plan,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/care-plan.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/05/care-plan.png,Download (Outside the Box),./images/care-plan.png,"A cartoon image depicting the term 'care plan'. At the top, the words 'care plan' are written in large, bold, black letters. Below this, a cartoon man with brown skin, black hair, and large, circular eyes is pointing towards a document labeled 'Plan'. The document has lines of text on it. A green arrow points from the man to the document. A large, tan-colored hand is illustrated below the man, as if supporting him. The image is enclosed within a black border.",Medical,"[ 0.01692657  0.00959743 -0.03160228 ... -0.01713361 -0.00901182
 -0.01376756]"
Care plan (in an emergency),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/care-plan-in-an-emergency.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/05/care-plan-in-an-emergency.png,Download (Outside the Box),./images/care-plan-in-an-emergency.png,"The image displays the words ""care plan"" written in large, bold black letters at the top of a square with a thick black border. Below the text, a cartoon-style person is depicted with tan skin, black hair, and a concerned expression. They are wearing a yellow shirt, blue pants, and black shoes, and are pointing with their right hand towards a picture of a red telephone with the word ""HELP"" written in white letters on a red banner above it, along with the word ""Plan"". A green arrow points from the person to the telephone picture. Beneath all of this, a large hand with brown skin tone is drawn palm-up, seemingly offering support or receiving the person depicted above.",Healthcare,"[ 0.00803583 -0.00218833 -0.03462558 ... -0.02350381 -0.01337755
 -0.02986298]"
Care plan V2,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/care-plan-V2.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/05/care-plan-V2.png,Download (Outside the Box),./images/care-plan-V2.png,"A colorful cartoon illustration with a person pointing to a document labeled 'care plan'. The care plan is floating above an open hand, as if being presented to someone. The words 'care plan' are also written in large, bold letters at the top of the image. The image is contained within a black border on a white background, providing a clear and simple visual representation of a care plan being offered or presented.",Healthcare,"[-0.00166324  0.0114458  -0.0294381  ... -0.02003364 -0.02241458
 -0.01279299]"
care planning,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/01/care-planning.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/03/care-planning.png,Download (Outside the Box),./images/care-planning.png,"A colorful cartoon style illustration depicts a scene of ""care planning"". At the top, in large, bold black letters, the words ""care planning"" are written. Below, a man with dark hair and brown skin sits to the left side of a brown table, appearing thoughtful with a speech bubble above his head. He is wearing a green shirt and blue pants. Across the table, a woman with light skin and brown hair sits on the right, holding a document with lines of text and a pen. She is wearing a blue shirt and purple pants, seemingly engaged in writing or reviewing the document. Both are seated on wooden chairs. The entire scene is enclosed within a black frame against a white background, creating a clear and engaging image.",Health & Social Care,"[ 0.02361195 -0.00299328 -0.0423885  ... -0.02719606 -0.01413152
 -0.02988803]"
care planning V2,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/01/care-planning-V2.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/03/care-planning-V2.png,Download (Outside the Box),./images/care-planning-V2.png,A cartoon image representing a 'care planning' meeting. Four people are seated around a brown round table. A document labeled 'care plan' sits on the table. One person is in a wheelchair.  Two people have thought bubbles above their heads. The words 'care planning' are printed in large bold black letters at the top of the image. The image is framed in a black border. ,Health & Social Care,"[ 0.03048053  0.02121942 -0.02935391 ... -0.02150577 -0.01229657
  0.00333265]"
Care program approach,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/care-program-approach.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/05/care-program-approach.png,Download (Outside the Box),./images/care-program-approach.png,"The image has the words 'care program approach' written in big, bold letters at the top. Below the words, there's a drawing of a group of people looking at a 'Plan' document. One person is pointing at the plan, and the others seem to be discussing it. Each person has a speech bubble, showing they're talking or thinking about the plan.",Education and Training,"[ 0.00733031 -0.0027381  -0.03435952 ... -0.00289118  0.0056964
 -0.01182705]"
Care programme approach,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/care-programme-approach.png,Download (In the Box),,,./images/care-programme-approach.png,"A picture showing the words 'care programme approach' written at the top in big letters. Below, there is a big paper that says 'Plan' at the top. There are four people standing around the plan, and one person is pointing to the plan. They all have speech bubbles to show they are talking about the plan. The picture is to show how people work together to make a care plan.",Health & Social Care,"[ 0.02319259  0.00383317 -0.04106525 ... -0.00569777 -0.00040891
 -0.01011491]"
Care quality commission,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/care-quality-commission.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/05/care-quality-commission.png,Download (Outside the Box),./images/care-quality-commission.png,"A cartoon image depicts a woman with light brown skin and brown hair, smiling and holding a clipboard. She is wearing a gray, long-sleeved shirt with a purple ""Q"" on it. The clipboard has some lines on it to indicate text and a purple ""Q"" at the top. There are also check boxes, some of which have green checkmarks. The words ""care quality"" and ""commission"" are written in large, bold, black letters at the top of the image. At the bottom of the image is the logo for the ""Care Quality Commission"", which features a purple ""Q"" and the words ""Care Quality Commission"" in gray. The background is white with a thick black border.",logos,"[-2.4177847e-05 -2.1829026e-02 -4.6082549e-02 ... -3.2465857e-02
 -2.7678786e-02 -2.8545039e-02]"
Care quality commission passed,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/care-quality-commission-passed.png,Download (In the Box),,,./images/care-quality-commission-passed.png,"A cartoon picture with a black border shows a person with tan skin and dark hair giving a thumbs up. To the left is a form with the Care Quality Commission logo on it. The form has two green check marks next to some items, and a blank box next to the last item. Above, in large black letters, is the word ""passed"". The person is wearing a gray shirt with the Care Quality Commission logo on it.",symbols,"[ 0.00731757 -0.02006169 -0.03130799 ... -0.04856776 -0.0421776
 -0.02698724]"
